"","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]","(0.75,1]","(0.5,0.75]","(0.25,0.5]","(0,0.25]"
"Parmularius_aff_pachyceras",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Parmularius_altidens",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"Parmularius_angusticornis",1,0,1,0,0,1,0,0,1,1,1,0,0,0,0
"Parmularius_maasaicus",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Parmularius_pandatus",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Parmularius_parvicornis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Parmularius_rugosus",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"Parmularius_sp_A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parmularius_sp_B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelorovis_kaisensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pelorovis_oldowayensis",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"Pelorovis_turkanensis",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"Phacochoerus_africanus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Phacochoerus_antiquus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Potamochoerus_porcus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Praedamalis_deturi",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rabaticeras_arambourgi",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"Rabaticeras_lemutai",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Redunca_arundinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Redunca_redunca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rusingoryx_atopocranion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Simatherium_aff_kohllarsoni",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Simatherium_kohllarseni",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Simatherium_shungurense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sivatherium_maurusium",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"Stegodon_kaisensis",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvicapra_grimmia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Syncerus_acoelotus",0,0,0,0,0,1,1,1,1,1,1,0,1,0,0
"Syncerus_antiquus",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Syncerus_caffer",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Taurotragus_arkelli",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Thaleroceros_radiciformis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tragelaphus_aff_lockwoodi",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tragelaphus_aff_spekei",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Tragelaphus_buxtoni",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tragelaphus_gaudryi",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"Tragelaphus_imberbis",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
