Country,Region,Unit,Lat,Long,Sequence,Min.Age,Max.Age,Mean.Age,Duration,Age Ref.,Faunal Ref(s).
Ethiopia,Awash,Gurumaha,11.4,40.9,Lee Adoyta Basin,2.75,2.82,2.785,0.07,DiMaggio et al. (2015),DiMaggio et al. (2015); Rowan et al. (2016); Bibi et al. (2017); Lazagabaster et al. (in prep)
Ethiopia,Awash,Hata,10.15,40.33,Bouri Formation,2.5,2.5,2.5,0,de Heinzelin et al. (1999),Suwa and White (2004); Boisserie and White (2004); de Heinzelin et al. (1999); Bibi et al. (2017)
Tanzania,,Ibole,-3.8,33.8,Wembere-Manonga Formation,5,5.5,5.25,0.5,Werdelin (2010),Harrison and Baker (1997); Sanders et al. (2010)
Kenya,Turkana,Kaitio,3.93,35.77,Nachukui Formation,1.55,1.87,1.71,0.32,McDougall et al. (2012),Fortelius et al. (2016)
Kenya,Turkana,Kaiyumung,2.9,36.05,Nachukui Formation,3,3.5,3.25,0.5,Sanders et al. (2010),"Leakey and Harris (2003); Boisserie et al. (2014); Werdelin and Peigne (2010); Geraads (2010, 2017)"
Kenya,Turkana,Kalochoro,3.93,35.77,Nachukui Formation,1.87,2.33,2.1,0.46,McDougall et al. (2012),Werdelin and Lewis (2013); Fortelius et al. (2016)
Kenya,Turkana,Kanapoi,2.33,35.92,Kanapoi Formation,4.07,4.17,4.12,0.1,Feibel (2003),Geraads et al. (2003); Harris et al. (2003); Werdelin and Lewis (2013); Sanders et al. (2010); Geraads (2010)
Kenya,,Kantis,-1.39,36.72,-,3.4,3.5,3.45,0.1,Mbua et al. (2016),Mbua et al. (2016)
Kenya,,Karungu,-0.83,34.15,-,0.035,0.1,0.068,0.065,Blegen et al. (2015); Blegen et al. (2016),Tryon et al. (2016)
Kenya,Turkana,Kataboi,3.93,35.77,Nachukui Formation,3.44,3.97,3.705,0.53,McDougall et al. (2012),Fortelius et al. (2016)
Kenya,Turkana,KBS,4,36.37,Koobi Fora Formation ,1.53,1.87,1.7,0.34,McDougall et al. (2012),Werdelin and Lewis (2013); Fortelius et al. (2016); Weston and Boisserie (2010)
Ethiopia,Awash,KH1,11.1,40.58,Hadar Formation,3.11,3.2,3.155,0.09,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Awash,KH2,11.1,40.58,Hadar Formation,2.95,3.11,3.03,0.16,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Turkana,Kibish.I,5,36,Kibish Formation,,,0.198,,Brown and McDougall (2011),Rowan et al. (2015); Assefa et al. (2008)
Ethiopia,Turkana,Kibish.III,5,36,Kibish Formation,,,0.104,,Brown and McDougall (2011),Rowan et al. (2015); Assefa et al. (2008)
Ethiopia,Turkana,Kibish.IV,5,36,Kibish Formation,0.008,0.012,0.01,0.004,Brown and McDougall (2011),Rowan et al. (2015); Assefa et al. (2008)
Kenya,,Kibogo,-0.28,35.01,Nyanza Rift,0.012,0.036,0.024,0.024,Faith et al. (in review),Faith et al. (in review)
Tanzania,,Kiloleli,-3.8,33.8,Wembere-Manonga Formation,4,4.5,4.25,0.5,Werdelin (2010),Harrison and Baker (1997); Sanders et al. (2010)
Ethiopia,Konso,Konso.1,5.3,37.4,Konso Formation,1.8,1.9,1.85,0.1,Suwa et al. (2003),Suwa et al. (2003)
Ethiopia,Konso,Konso.2,5.3,37.4,Konso Formation,1.7,1.8,1.75,0.1,Suwa et al. (2003),Suwa et al. (2003)
Ethiopia,Konso,Konso.3,5.3,37.4,Konso Formation,1.5,1.6,1.55,0.1,Suwa et al. (2003),Suwa et al. (2003)
Ethiopia,Konso,Konso.4,5.3,37.4,Konso Formation,1.4,1.5,1.45,0.1,Suwa et al. (2003),Suwa et al. (2003)
Ethiopia,Konso,Konso.5,5.3,37.4,Konso Formation,1.3,1.4,1.35,0.1,Suwa et al. (2003),Suwa et al. (2003)
Ethiopia,Konso,Konso.6,5.3,37.4,Konso Formation,0.7,1.3,1,0.6,Suwa et al. (2003),Suwa et al. (2003)
Ethiopia,Awash,Korsi.Dora,11.3,40.3,Woranso-Mille,3.57,3.66,3.615,0.09,Haile-Selassie and Ryan (2019),Sanders and Haile-Selassie (2012); Werdelin et al. (2014); Frost et al. (2014); Geraads et al. (2009); Su (2016)
Ethiopia,Awash,Kuseralee,10.43,40.45,Sagantole Formation,,,5.2,,Haile-Selassie and WoldeGabriel (2009),Haile-Selassie (2009); Bibi (2011); Boisserie et al. (2014); Garcia (2008)
Kenya,,Lainyamok,-1.79,36.2,-,0.32,0.39,0.355,0.07,Potts and Deino (1995),Geraads et al. (2004)
Ethiopia,Awash,Lee.Adoyta,11.4,40.9,Lee Adoyta Basin,2.58,2.67,2.625,0.09,DiMaggio et al. (2015),DiMaggio et al. (2015); Rowan et al. (2016); Bibi et al. (2017); Lazagabaster et al. (in prep)
Kenya,,Lemudongo,1.3,35.95,Lemudongo Formation,,,6,,Ambrose et al. (2007),Ambrose et al. (2007); Werdelin and Peigne (2010)
Kenya,Turkana,Lokalalei,3.93,35.77,Nachukui Formation,2.33,2.53,2.43,0.2,McDougall et al. (2012),Fortelius et al. (2016); Geraads (2010)
Kenya,Turkana,Lokochot,4,36.37,Koobi Fora Formation ,3.44,3.6,3.52,0.16,McDougall et al. (2012),Werdelin and Lewis (2013); Fortelius et al. (2016); Weston and Boisserie (2010)
